repository,classification,default_branch,archived,commits_pre_cutoff,commit_pages_scanned,cutoff_utc,retrieval_timestamp_utc,notes
ShantiDraconis/millennium-navier-stokes-I,AUTHORIZATION_MISSING,,,0,0,2026-09-08T00:00:00Z,2026-09-11T14:10:37Z,HTTP_403
ShantiDraconis/millennium-navier-stokes-classical,AUTHORIZATION_MISSING,,,0,0,2026-09-08T00:00:00Z,2026-09-11T14:10:37Z,HTTP_403
ShantiDraconis/Millennium,AUTHORIZATION_MISSING,,,0,0,2026-09-08T00:00:00Z,2026-09-11T14:10:37Z,HTTP_403
ShantiDraconis/navier-stokes-critical-L3,AUTHORIZATION_MISSING,,,0,0,2026-09-08T00:00:00Z,2026-09-11T14:10:37Z,HTTP_403
ShantiDraconis/navier-stokes-noncircular,AUTHORIZATION_MISSING,,,0,0,2026-09-08T00:00:00Z,2026-09-11T14:10:37Z,HTTP_403
ShantiDraconis/navier-stokes-critical-barrier-audit,AUTHORIZATION_MISSING,,,0,0,2026-09-08T00:00:00Z,2026-09-11T14:10:37Z,HTTP_403
ShantiDraconis/hawking-ns,AUTHORIZATION_MISSING,,,0,0,2026-09-08T00:00:00Z,2026-09-11T14:10:37Z,HTTP_403
ShantiDraconis/hawking-singularities-millennium-problems,AUTHORIZATION_MISSING,,,0,0,2026-09-08T00:00:00Z,2026-09-11T14:10:37Z,HTTP_403
ShantiDraconis/millennium-regularity-I,AUTHORIZATION_MISSING,,,0,0,2026-09-08T00:00:00Z,2026-09-11T14:10:37Z,HTTP_403
ShantiDraconis/millennium-poincare-classical,AUTHORIZATION_MISSING,,,0,0,2026-09-08T00:00:00Z,2026-09-11T14:10:37Z,HTTP_403
ShantiDraconis/millennium-poincare-symbolic,AUTHORIZATION_MISSING,,,0,0,2026-09-08T00:00:00Z,2026-09-11T14:10:37Z,HTTP_403
ShantiDraconis/Millenium-delta-unified-frame,AUTHORIZATION_MISSING,,,0,0,2026-09-08T00:00:00Z,2026-09-11T14:10:37Z,HTTP_403
ShantiDraconis/Lunar-Hive,AUTHORIZATION_MISSING,,,0,0,2026-09-08T00:00:00Z,2026-09-11T14:10:37Z,HTTP_403
ShantiDraconis/Lunar-Hive-00,AUTHORIZATION_MISSING,,,0,0,2026-09-08T00:00:00Z,2026-09-11T14:10:37Z,HTTP_403
ShantiDraconis/tiago-fagliari-creative-technical-portfolio,AUTHORIZATION_MISSING,,,0,0,2026-09-08T00:00:00Z,2026-09-11T14:10:37Z,HTTP_403
ShantiDraconis/Beit-Hamikdash-iii,AUTHORIZATION_MISSING,,,0,0,2026-09-08T00:00:00Z,2026-09-11T14:10:37Z,HTTP_403
openai/NavierStokesAndEuler,AUTHORIZATION_MISSING,,,0,0,2026-09-08T00:00:00Z,2026-09-11T14:10:37Z,HTTP_403
