experiment,N,ell,cells_per_ell,kappa,l2,grad_l2,rho,accepted_pairs,ch95,ch99,chmax
fixed_field_refinement,64,0.0625,4.0,1.0,0.036274014654912805,0.9168410003881543,0.03956412795627139,50000,0.5984092316893435,0.9517946915730303,1.59125868079372
shrinking_packet_family,64,0.25,16.0,1.0,0.2861473744028572,1.7622961886751871,0.16237189653004333,50000,0.6078156912478048,0.943339086542084,1.6009096462958752
fixed_field_refinement,128,0.0625,8.0,1.0,0.037508283316472824,0.9379134028452971,0.03999120089625116,50000,0.5986319218175409,0.9142803603129416,1.5130201316804162
shrinking_packet_family,128,0.125,16.0,1.0,0.10483635421409607,1.3220900226536458,0.0792959272195949,50000,0.596665577442862,0.9258942507153183,1.329235528250825
fixed_field_refinement,256,0.0625,16.0,1.0,0.035782683617769234,0.905970484660279,0.03949652248460062,50000,0.5970172856520107,0.9066009320774657,1.5481010395037726
shrinking_packet_family,256,0.0625,16.0,1.0,0.035782683617769234,0.905970484660279,0.03949652248460062,50000,0.5970172856520107,0.9066009320774657,1.5481010395037726
fixed_field_refinement,512,0.0625,32.0,1.0,0.037182855817450636,0.9491791867011441,0.039173694849630035,50000,0.59042671227025,0.9255937919029907,1.417221187786316
shrinking_packet_family,512,0.03125,16.0,1.0,0.013665089400499151,0.6553670538335036,0.02085104724225392,50000,0.5837769915345352,0.8911547214217126,1.4125005519920566
kappa_covariance,256,0.0625,16.0,0.25,0.03657956047955541,0.9243356396159834,0.009893473461315536,50000,0.15492750632385413,0.2804020629761474,0.7524074982613712
kappa_covariance,256,0.0625,16.0,1.0,0.03758682458359159,0.9385534060524922,0.04004761406351916,50000,0.594556650033237,0.9388524555182265,1.5768706718295011
kappa_covariance,256,0.0625,16.0,4.0,0.03753749291483358,0.9484934915931421,0.15830363939254252,50000,1.2188406558042557,1.4248668381184257,2.397803872587529
